Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sat Mar 17 15:03:12 +0000 2018,0.0,1.0,0.0,"This year, over 250 landmarks across the globe are going green for #StPatricksDay! 🍀 https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ",29,@BBC
0.0,Sat Mar 17 14:43:43 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio3: ""Even if we found a complete theory of the universe, it wouldn't remove the need for music"" - #StephenHawking
https://t.co/t…",30,@BBC
0.8625,Sat Mar 17 14:00:30 +0000 2018,0.0,0.699,0.301,⛷❤️ George has autism and other health conditions - but his love of skiing is helping him take on the outside world. https://t.co/kfCzRzkcNY,31,@BBC
0.3628,Sat Mar 17 13:46:15 +0000 2018,0.073,0.784,0.143,"RT @5liveSport: 'My mates didn't know I was playing @realmadrid'

@ManUtd's @carras16 tells @ColinMurray his friends keep him grounded…

'A…",32,@BBC
0.4019,Sat Mar 17 13:00:08 +0000 2018,0.0,0.881,0.119,"Yes, Gary Oldman and @BBCEastEnders' Big Mo are brother and sister. 

But do you know these other celeb family ties… https://t.co/dtzMwD3nBB",33,@BBC
-0.7244,Sat Mar 17 12:39:41 +0000 2018,0.336,0.664,0.0,"RT @BBCOne: .@NiallOfficial won't let fame get to his head - Ireland won't allow it. 

Happy #StPatricksDay 🍀 https://t.co/OrWR94HStF",34,@BBC
0.5106,Sat Mar 17 12:00:09 +0000 2018,0.112,0.643,0.245,♻️🗑 This shop encourages you to bring your own container from home to save on single-use plastic waste. https://t.co/TdHJSycKtO,35,@BBC
0.8883,Sat Mar 17 11:30:09 +0000 2018,0.0,0.488,0.512,🇮🇪 🍀 Celebrate #StPatricksDay in true Irish style with these delicious recipes! 👉https://t.co/2MCMlz6K0B https://t.co/k18P3Syx2N,36,@BBC
0.6249,Sat Mar 17 11:03:05 +0000 2018,0.0,0.796,0.204,From scrambled eggs to chilli-spiced crisps: here are six great ways to cook with kale. 😋👉https://t.co/lqKD1h83Iv https://t.co/yWESBJm62q,37,@BBC
0.6996,Sat Mar 17 10:14:25 +0000 2018,0.066,0.658,0.276,RT @BBCTwo: Happy #StPatricksDay! Check out what's lurking beneath the calm waters of Ireland's west coast... 🇮🇪🦈 https://t.co/6MQgyLTlIr,38,@BBC
0.0,Sat Mar 17 10:00:02 +0000 2018,0.0,1.0,0.0,"🎶🐦 Did you know that bullfinches can learn to sing a tune by mimicking humans?

🔊 Sound on for this one!  https://t.co/44OFulioZp",39,@BBC
-0.7717,Sat Mar 17 09:39:19 +0000 2018,0.251,0.749,0.0,"RT @BBCEngland: Stephen Hawking's PhD thesis has been viewed 250,000 times online since news of his death broke on Wednesday, the Universit…",40,@BBC
0.6369,Sat Mar 17 09:00:06 +0000 2018,0.0,0.714,0.286,"Ready to get active?
🏃 Here are 5 ways you can get involved in #SportRelief2018. 
👉 https://t.co/wmKUWBDBjp https://t.co/xr7g5Hw4PK",41,@BBC
0.7783,Fri Mar 16 19:38:34 +0000 2018,0.0,0.726,0.274,"RT @BBCR1: This guy just raised over a million pounds for @sportrelief 🙌🏻

Congratulations on completing a truly mammoth task @gregjames, w…",42,@BBC
0.4926,Fri Mar 16 18:31:01 +0000 2018,0.0,0.61,0.39,💪😲⚽️ Keepy-uppy the good work! https://t.co/lFtKEBxjNJ,43,@BBC
0.5719,Fri Mar 16 17:00:25 +0000 2018,0.0,0.791,0.209,❤️🎧 Bradley has never let Asperger's hold him back from doing what he loves. https://t.co/5JFvIXeDSZ,44,@BBC
0.0,Fri Mar 16 16:30:01 +0000 2018,0.0,1.0,0.0,"Running for the door on a Friday afternoon like...
#FridayFeeling https://t.co/optoQcK1TV",45,@BBC
0.0,Fri Mar 16 16:00:00 +0000 2018,0.0,1.0,0.0,🔊🎵Jarvis Cocker describes the dream-like experience of visiting La Monte Young's Dreamhouse.… https://t.co/O9u7sPRL5m,46,@BBC
0.0,Fri Mar 16 14:25:15 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: The gruelling task of climbing Ben Nevis in underway for @gregjames after cycling 180 miles in a day and a half!

Don't know abo…",47,@BBC
0.34,Fri Mar 16 14:00:13 +0000 2018,0.0,0.841,0.159,Prepare to get that warm fuzzy feeling - the man who photobombed his wife 11 years before he met her:… https://t.co/iZBJ8dEKhz,48,@BBC
0.6124,Fri Mar 16 12:59:01 +0000 2018,0.0,0.667,0.333,🤔🎨 Why are soap bubbles such gorgeous colours? https://t.co/ppaXTcvWRZ,49,@BBC
0.3612,Fri Mar 16 12:38:40 +0000 2018,0.0,0.902,0.098,"RT @BBCNewsPR: Get ready to make the headlines. 

Try out our new BBC iReporter game, putting you in the heart of the newsroom #BBCSchoolRe…",50,@BBC
-0.6486,Fri Mar 16 12:00:04 +0000 2018,0.238,0.762,0.0,"😂 Fights, funerals, and giant furry heads... @BBCThree lifts the lid on the lives of English football's mascots
👉… https://t.co/gEYxoetlah",51,@BBC
0.5574,Fri Mar 16 10:45:24 +0000 2018,0.0,0.841,0.159,"RT @BBCRadio2: It's with a heavy heart that today we announce, after 18 fantastic years, @realLynnBowles is leaving Radio 2. 😢

@realkenbru…",52,@BBC
0.0,Fri Mar 16 10:02:00 +0000 2018,0.0,1.0,0.0,Are you getting enough sleep? This simple test will tell you... 🥄😴#WorldSleepDay https://t.co/SP28dsdLSf,53,@BBC
0.4939,Fri Mar 16 09:35:56 +0000 2018,0.0,0.814,0.186,"RT @bbcthree: the dancing in taylor swift's new video seems pretty familiar 

CC @ChrisLilley https://t.co/MfA9usnqSb",54,@BBC
0.6486,Fri Mar 16 09:35:50 +0000 2018,0.0,0.813,0.187,"RT @BBCEngland: Oscar-winning British short film The Silent Child is to be shown on BBC One on Good Friday, giving UK viewers the first cha…",55,@BBC
0.0,Fri Mar 16 09:35:47 +0000 2018,0.0,1.0,0.0,RT @BBCScotlandNews: Meet Chloe - the five-year-old girl changing perceptions of Down's syndrome https://t.co/UNylRgDoY0 https://t.co/4ZjpI…,56,@BBC
0.4939,Fri Mar 16 09:35:43 +0000 2018,0.0,0.802,0.198,"RT @BBCWales: 🌼 Daffodils dance in the spring sunshine above Tenby harbour

📷 #Photooftheday » https://t.co/kNBVDzoYrZ https://t.co/OEQQWR7…",57,@BBC
0.4404,Fri Mar 16 09:00:03 +0000 2018,0.0,0.847,0.153,"💪 After having his leg amputated, @MarkSmithBB is now training to become the world's strongest disabled man. https://t.co/BXlGp09hya",58,@BBC
0.6115,Fri Mar 16 08:30:05 +0000 2018,0.0,0.84,0.16,"🌸🌻🌺
Take a look at some of the strangest, scariest and most wonderful plants on the planet, and find out what makes… https://t.co/AMFIAuRcxW",59,@BBC
-0.4019,Fri Mar 16 08:00:08 +0000 2018,0.172,0.828,0.0,😬🛰🌏 Brace yourselves... a Chinese space station could be about to crash into earth. https://t.co/cPFxyUhRsq,60,@BBC
0.3327,Thu Mar 15 21:58:00 +0000 2018,0.0,0.809,0.191,Why were Ansel Adams photographs of America so important? #Civilisations https://t.co/8krOMxDz9C,61,@BBC
0.5574,Thu Mar 15 21:04:00 +0000 2018,0.108,0.613,0.278,"At a time in China when artists were persecuted, this painter secretly created beautiful landscapes. #Civilisations https://t.co/ApGgOkXX2w",62,@BBC
-0.3818,Thu Mar 15 19:30:04 +0000 2018,0.174,0.737,0.089,70% of children growing up in poverty in Scotland have a parent who is in work. https://t.co/NPY8FbCaf4,63,@BBC
-0.296,Thu Mar 15 18:30:06 +0000 2018,0.095,0.905,0.0,"No time in the mornings? 
🍯🍎 Pop these in the fridge the night before to feed the family breakfast almost instantly… https://t.co/FtuewpoBva",64,@BBC
0.34,Thu Mar 15 17:30:05 +0000 2018,0.0,0.882,0.118,🎨🖼️ Meet the amazing 84-year-old who’s never had an art lesson but painted a life-size replica of a Canaletto maste… https://t.co/X39YxKuxKe,65,@BBC
0.5214,Thu Mar 15 13:52:24 +0000 2018,0.0,0.806,0.194,RT @BBCR1: .@CHVRCHES covering @The1975's 'Somebody Else' in the Live Lounge is so stunning 🌹 https://t.co/djNHaPKlLi,66,@BBC
0.1901,Thu Mar 15 13:00:05 +0000 2018,0.0,0.821,0.179,"Tiny cookery. It's like regular cookery, but smaller. https://t.co/9Q0R2CiUVi",67,@BBC
0.0,Thu Mar 15 12:00:16 +0000 2018,0.0,1.0,0.0,"🚢🎞 Stars of the silver screen all at sea. 
📸👉 https://t.co/YJ7PzhblOE https://t.co/PnHxJNmeok",68,@BBC
-0.4767,Thu Mar 15 10:45:00 +0000 2018,0.134,0.866,0.0,"BBC Economics Editor @bbckamal travels back to his old school to talk about real news, and it’s opposite, fake news… https://t.co/CAKG8AbVn8",69,@BBC
-0.1779,Thu Mar 15 10:26:48 +0000 2018,0.132,0.766,0.102,RT @BBCr4today: Can you spot fake news? #BBCSchoolReport and John Humphrys are here to help... Play the game 👉 https://t.co/ulq1aviwP9 #r4t…,70,@BBC
0.0,Thu Mar 15 09:53:48 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: The bike is back.
The lycra is BACK.

@GregJames' #Gregathlon for @SportRelief is back on the road to Ben Nevis! Today's challen…",71,@BBC
0.5411,Thu Mar 15 09:53:11 +0000 2018,0.0,0.868,0.132,RT @BBCSpringwatch: 😍🐭 This adorable little wood mouse hit the jackpot when it came across this larder of tasty hedgehog food! Watch how it…,72,@BBC
0.0,Thu Mar 15 09:50:25 +0000 2018,0.0,1.0,0.0,RT @BBCTwo: 🆕 CONFIRMED: The final series of #Episodes starts Friday 30 March on @BBCTwo! @matt_leblanc @stephenmangan 📺🙌 https://t.co/PeBz…,73,@BBC
0.0,Thu Mar 15 09:00:08 +0000 2018,0.0,1.0,0.0,Meet the Maasai woman standing up to female genital mutilation. https://t.co/CWUQB81bUz,74,@BBC
0.0,Thu Mar 15 08:30:08 +0000 2018,0.0,1.0,0.0,"🧀🐮 A farm dairy in south west Scotland believes it is leading the way for what it describes as 'ethical' cheese.
👉… https://t.co/VyfVlaVR0u",75,@BBC
0.0,Thu Mar 15 08:00:04 +0000 2018,0.0,1.0,0.0,🚇 When step-free access on London's Tube... isn't. https://t.co/62SPPru2ZP,76,@BBC
-0.6808,Wed Mar 14 21:14:04 +0000 2018,0.248,0.752,0.0,"No coffee after 2pm, no lie-ins and no phones in the bedroom...

One woman followed all the rules to find out what… https://t.co/EoQcnBXGQ4",77,@BBC
0.0,Wed Mar 14 20:00:03 +0000 2018,0.0,1.0,0.0,🛩️ The sky's the limit! https://t.co/eQgP9MDBCj,78,@BBC
0.0,Wed Mar 14 19:10:00 +0000 2018,0.0,1.0,0.0,"“Remember to look up at the stars and not down at your feet.”

An extraordinary man whose work and legacy will live… https://t.co/iM2vDxd8ET",79,@BBC
-0.7964,Wed Mar 14 19:04:03 +0000 2018,0.351,0.649,0.0,Britain's most iconic dog is in crisis. Catherine Tate investigates the serious health problems affecting the Briti… https://t.co/pnTcQIQAi5,80,@BBC
0.0,Wed Mar 14 18:30:00 +0000 2018,0.0,1.0,0.0,"🔊😵 This is trippy. 

#TonesDronesAndArpeggios | Watch on @BBCiPlayer https://t.co/Ylvgi0X3XV",81,@BBC
0.0,Wed Mar 14 17:30:00 +0000 2018,0.0,1.0,0.0,Would you use a cup made of used chewing gum? https://t.co/3yFsUyeZAc,82,@BBC
0.8402,Wed Mar 14 16:43:32 +0000 2018,0.0,0.655,0.345,RT @BBCR1: Big thanks to #PiDay for giving us an excuse to re-share this video of Tom Hiddleston making it sound sexy 😍 https://t.co/1VZuCI…,83,@BBC
0.4019,Wed Mar 14 16:20:43 +0000 2018,0.0,0.876,0.124,"RT @BBCTwo: In a change to tonight’s schedule, we’ll now be showing a Horizon special from 1983 looking at Stephen Hawking's extraordinary…",84,@BBC
0.0,Wed Mar 14 14:38:04 +0000 2018,0.0,1.0,0.0,"💫☄ From the behaviour of black holes to the origin of the universe, these are the discoveries that made Stephen Haw… https://t.co/Nep1Hu6Onj",85,@BBC
0.7783,Wed Mar 14 13:24:10 +0000 2018,0.0,0.726,0.274,"Broadcaster and comedian Jim Bowen, best known for hosting darts-based game show Bullseye in the 1980s and '90s, ha… https://t.co/4d3xxj5e3X",86,@BBC
0.6779,Wed Mar 14 13:00:06 +0000 2018,0.0,0.618,0.382,"Pi(π) = the most delicious number in the known universe. 
🥧 #PiDay https://t.co/hjtJByH0XN",87,@BBC
0.561,Wed Mar 14 12:49:48 +0000 2018,0.0,0.826,0.174,"RT @BBCR1: 🏔🚴 #Gregathlon is GO! 🚴🏔

@GregJames is getting back on his bike to finish his HUGE challenge for @SportRelief. 

He starts his…",88,@BBC
0.6696,Wed Mar 14 12:17:18 +0000 2018,0.0,0.781,0.219,"RT @bbcgetinspired: 🔴 DANCERS NEEDED! 🔴

Do you know a dancer who would love this? 💃🕺 #TuesdayThoughts #GetInspired @birminghamcg22 #Birmin…",89,@BBC
-0.802,Wed Mar 14 12:12:32 +0000 2018,0.231,0.769,0.0,RT @BBCFOUR: Ruth Ellis was only 28 when she became the last woman hanged to death in the UK – and it took place disturbingly recently. htt…,90,@BBC
0.3612,Wed Mar 14 12:03:05 +0000 2018,0.0,0.865,0.135,"📚 The Bard is credited with inventing several hundred English words. 

Test your knowledge of Bard-influenced corpo… https://t.co/V3IfPC0kDm",91,@BBC
0.8176,Wed Mar 14 11:59:37 +0000 2018,0.052,0.598,0.351,"RT @BBCRadio4: Here is a perfect example of Stephen Hawking's extraordinary ability to make serious science genuinely popular
A 90-second e…",92,@BBC
0.3612,Wed Mar 14 11:56:23 +0000 2018,0.0,0.828,0.172,"RT @bbcthree: ""Having vitiligo is like having something that nobody else has."" https://t.co/IG2a06mxGV",93,@BBC
0.8625,Wed Mar 14 11:56:14 +0000 2018,0.0,0.719,0.281,RT @bbcouch: George has autism and other health conditions - but his love of skiing is helping him take on the outside world ⛷❤️ https://t.…,94,@BBC
0.0,Wed Mar 14 11:30:12 +0000 2018,0.0,1.0,0.0,"💫 Stephen Hawking: A life in pictures.
📸 👉 https://t.co/0NOtTi7lyD https://t.co/Q1yeTunvnY",95,@BBC
0.0,Wed Mar 14 10:27:40 +0000 2018,0.0,1.0,0.0,"'You could ask my dad any question.'

In memory of Stephen Hawking, here's an earlier interview with his daughter L… https://t.co/6OQlwLfg2d",96,@BBC
0.0,Wed Mar 14 10:01:19 +0000 2018,0.0,1.0,0.0,RT @BBCArchive: Stephen Hawking first appeared on the BBC in the 1977 documentary The Key to the Universe: The Search for the Laws of Creat…,97,@BBC
0.5719,Wed Mar 14 09:00:05 +0000 2018,0.0,0.748,0.252,'I was homeless on these streets - I'm the perfect tour guide.' https://t.co/jxirkZzebu,98,@BBC
0.0,Wed Mar 14 08:35:41 +0000 2018,0.0,1.0,0.0,"Despite 8 million tonnes of plastic entering UK oceans each year, researchers can only account for where 1% of it e… https://t.co/qHNjcKK9Ap",99,@BBC
0.0,Sun Mar 18 23:44:30 +0000 2018,0.0,1.0,0.0,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,0,@CBS
0.6514,Sun Mar 18 18:05:43 +0000 2018,0.0,0.787,0.213,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,1,@CBS
0.1867,Sun Mar 18 17:09:53 +0000 2018,0.0,0.92,0.08,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",2,@CBS
0.0,Sat Mar 17 19:00:02 +0000 2018,0.0,1.0,0.0,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",3,@CBS
0.6166,Sat Mar 17 17:42:43 +0000 2018,0.0,0.839,0.161,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,4,@CBS
0.7096,Sat Mar 17 14:00:03 +0000 2018,0.0,0.753,0.247,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,5,@CBS
0.296,Fri Mar 16 22:53:21 +0000 2018,0.0,0.896,0.104,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,6,@CBS
0.0,Fri Mar 16 18:15:53 +0000 2018,0.0,1.0,0.0,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",7,@CBS
0.6514,Fri Mar 16 16:28:40 +0000 2018,0.0,0.822,0.178,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,8,@CBS
0.7088,Thu Mar 15 17:54:06 +0000 2018,0.0,0.763,0.237,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…",9,@CBS
-0.4939,Thu Mar 15 17:20:26 +0000 2018,0.157,0.766,0.077,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,10,@CBS
0.6514,Thu Mar 15 16:42:41 +0000 2018,0.0,0.806,0.194,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,11,@CBS
0.6115,Thu Mar 15 14:32:16 +0000 2018,0.0,0.734,0.266,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,12,@CBS
0.6696,Wed Mar 14 19:30:01 +0000 2018,0.0,0.781,0.219,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",13,@CBS
0.3612,Tue Mar 13 18:48:52 +0000 2018,0.0,0.857,0.143,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",14,@CBS
0.539,Tue Mar 13 14:15:10 +0000 2018,0.0,0.821,0.179,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",15,@CBS
0.2244,Mon Mar 12 18:13:28 +0000 2018,0.0,0.917,0.083,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,16,@CBS
0.0,Mon Mar 12 01:20:43 +0000 2018,0.0,1.0,0.0,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",17,@CBS
0.4926,Fri Mar 09 22:48:26 +0000 2018,0.0,0.883,0.117,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,18,@CBS
0.1275,Fri Mar 09 22:24:20 +0000 2018,0.092,0.795,0.113,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",19,@CBS
0.4215,Fri Mar 09 21:10:21 +0000 2018,0.0,0.823,0.177,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",20,@CBS
0.8658,Fri Mar 09 18:27:28 +0000 2018,0.0,0.553,0.447,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",21,@CBS
0.0,Fri Mar 09 16:02:27 +0000 2018,0.0,1.0,0.0,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,22,@CBS
0.8625,Thu Mar 08 18:00:49 +0000 2018,0.0,0.664,0.336,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,23,@CBS
0.4926,Thu Mar 08 17:03:04 +0000 2018,0.0,0.868,0.132,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,24,@CBS
-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.23,0.619,0.15,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",25,@CBS
0.0,Wed Mar 07 17:06:02 +0000 2018,0.0,1.0,0.0,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",26,@CBS
0.6705,Tue Mar 06 18:10:59 +0000 2018,0.0,0.756,0.244,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",27,@CBS
0.3818,Mon Mar 05 22:16:43 +0000 2018,0.0,0.833,0.167,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",28,@CBS
0.4404,Sun Mar 04 08:05:26 +0000 2018,0.0,0.884,0.116,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",29,@CBS
0.0,Sat Mar 03 20:55:20 +0000 2018,0.0,1.0,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",30,@CBS
0.7096,Fri Mar 02 22:30:01 +0000 2018,0.0,0.753,0.247,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",31,@CBS
